"TreeID","Girth_cm","DateRange","Start_Year","End_Year"
514,276,"2016-2019
",2016,2019
515,199,"2007-2015
",2007,2015
515,228,"2016-2019
",2016,2019
516,257,"2016-2019
",2016,2019
517,61,"2007-2015
",2007,2015
517,89,"2016-2019
",2016,2019
518,183,"2007-2015
",2007,2015
518,193,"2016-2019
",2016,2019
519,125,"2007-2015
",2007,2015
519,146,"2016-2019
",2016,2019
520,163,"2007-2015
",2007,2015
520,186,"2016-2019
",2016,2019
521,451,"2007-2015
",2007,2015
521,455,"2016-2019
",2016,2019
522,111,"2007-2015
",2007,2015
522,121,"2016-2019
",2016,2019
523,188,"2007-2015
",2007,2015
523,200,"2016-2019
",2016,2019
524,193,"2007-2015
",2007,2015
524,224,"2016-2019
",2016,2019
525,172,"2007-2015
",2007,2015
525,179,"2016-2019
",2016,2019
526,107,"2007-2015
",2007,2015
526,112,"2016-2019
",2016,2019
527,206,"2007-2015
",2007,2015
527,205,"2016-2019
",2016,2019
528,172,"2007-2015
",2007,2015
528,186,"2016-2019
",2016,2019
529,178,"2007-2015
",2007,2015
529,227,"2016-2019
",2016,2019
530,130,"2007-2015
",2007,2015
530,134,"2016-2019
",2016,2019
531,221,"2007-2015
",2007,2015
531,315,"2016-2019
",2016,2019
532,69,"2007-2015
",2007,2015
532,84,"2016-2019
",2016,2019
533,25,"2007-2015
",2007,2015
533,28,"2016-2019
",2016,2019
534,87,"2007-2015
",2007,2015
534,104,"2016-2019
",2016,2019
535,25,"2007-2015
",2007,2015
535,30,"2016-2019
",2016,2019
536,98,"2007-2015
",2007,2015
536,142,"2016-2019
",2016,2019
537,31,"2007-2015
",2007,2015
538,29,"2007-2015
",2007,2015
538,35,"2016-2019
",2016,2019
540,48,"2016-2019
",2016,2019
541,74,"2007-2015
",2007,2015
541,85,"2016-2019
",2016,2019
542,27,"2007-2015
",2007,2015
542,31,"2016-2019
",2016,2019
543,65,"2007-2015
",2007,2015
543,79,"2016-2019
",2016,2019
544,20,"2007-2015
",2007,2015
545,22,"2007-2015
",2007,2015
545,25,"2016-2019
",2016,2019
546,48,"2007-2015
",2007,2015
546,50,"2016-2019
",2016,2019
547,73,"2007-2015
",2007,2015
